Trade ID,Symbol,Pattern,Direction,Entry Time,Entry Price,Exit Time,Exit Price,Exit Reason,Lot Size,Gross PnL ($),Spread Cost ($),Comm Cost ($),Net PnL ($),R
XAUUSD_V3_11,XAUUSD,Cypher,SHORT,2010-02-04 16:45:00,1076.3,2010-02-04 17:00:00,1099.14204,TP1_TP2,0.06,150.08,1.5,0.3,148.28,0.72
XAUUSD_V3_12,XAUUSD,Cypher,LONG,2010-02-09 14:30:00,1075.59,2010-02-09 14:45:00,1075.59,TP1_BE,0.18,60.41,4.5,0.9,55.01,0.26
XAUUSD_V3_13,XAUUSD,Cypher,LONG,2010-03-16 14:15:00,1125.02,2010-03-16 14:30:00,1125.02,TP1_BE,0.15,81.29,3.75,0.75,76.79,0.37
XAUUSD_V3_14,XAUUSD,Cypher,LONG,2010-03-16 14:45:00,1122.98,2010-03-16 15:00:00,1122.98,TP1_BE,0.17,74.79,4.25,0.85,69.69,0.33
XAUUSD_V3_15,XAUUSD,Cypher,LONG,2010-03-16 15:30:00,1125.12,2010-03-16 15:45:00,1125.12,TP1_BE,0.15,82.04,3.75,0.75,77.54,0.37
XAUUSD_V3_16,XAUUSD,Cypher,LONG,2010-04-01 15:15:00,1123.3,2010-04-01 15:30:00,1123.3,TP1_BE,0.17,57.6,4.25,0.85,52.5,0.25
XAUUSD_V3_17,XAUUSD,Cypher,LONG,2010-04-01 15:45:00,1124.01,2010-04-01 16:00:00,1124.01,TP1_BE,0.16,59.89,4.0,0.8,55.09,0.26
XAUUSD_V3_18,XAUUSD,Cypher,LONG,2010-04-01 16:30:00,1125.46,2010-04-01 16:45:00,1125.46,TP1_BE,0.15,67.02,3.75,0.75,62.52,0.29
XAUUSD_V3_19,XAUUSD,Cypher,SHORT,2010-05-17 18:15:00,1225.98,2010-05-17 18:30:00,1225.98,TP1_BE,0.13,19.29,3.25,0.65,15.39,0.07
XAUUSD_V3_20,XAUUSD,Cypher,SHORT,2010-05-17 17:30:00,1232.95,2010-05-18 09:15:00,1215.4488000000003,TP1_TP2,0.21,225.79,5.25,1.05,219.49,1.01
XAUUSD_V3_21,XAUUSD,Cypher,LONG,2010-06-01 19:00:00,1224.86,2010-06-02 01:15:00,1224.86,TP1_BE,0.44,32.21,11.0,2.2,19.01,0.09
XAUUSD_V3_22,XAUUSD,Cypher,LONG,2010-06-01 19:30:00,1225.17,2010-06-02 01:15:00,1225.17,TP1_BE,0.41,23.66,10.25,2.05,11.36,0.05
XAUUSD_V3_23,XAUUSD,Cypher,SHORT,2010-06-10 18:00:00,1222.97,2010-06-11 14:15:00,1222.97,TP1_BE,0.3,56.7,7.5,1.5,47.7,0.21
XAUUSD_V3_24,XAUUSD,Cypher,SHORT,2010-06-29 15:45:00,1232.4,2010-06-29 16:00:00,1232.4,TP1_BE,0.21,8.59,5.25,1.05,2.29,0.01
XAUUSD_V3_25,XAUUSD,Cypher,SHORT,2010-06-29 16:15:00,1234.38,2010-06-29 16:30:00,1234.38,TP1_BE,0.26,15.1,6.5,1.3,7.3,0.03
XAUUSD_V3_26,XAUUSD,Cypher,SHORT,2010-06-29 17:00:00,1236.25,2010-06-29 18:00:00,1243.03858,SL,0.33,-224.02,8.25,1.65,-237.22,-1.06
XAUUSD_V3_27,XAUUSD,Cypher,SHORT,2010-07-02 19:00:00,1209.0,2010-07-05 13:15:00,1207.4,TIMEOUT,0.32,51.2,8.0,1.6,41.6,0.19
XAUUSD_V3_28,XAUUSD,Cypher,SHORT,2010-07-02 19:30:00,1206.53,2010-07-05 13:15:00,1207.4,TIMEOUT,0.23,-20.01,5.75,1.15,-26.91,-0.12
XAUUSD_V3_29,XAUUSD,Cypher,SHORT,2010-07-07 14:15:00,1186.73,2010-07-07 14:30:00,1186.73,TP1_BE,0.28,12.36,7.0,1.4,3.96,0.02
XAUUSD_V3_30,XAUUSD,Cypher,SHORT,2010-07-12 16:45:00,1203.03,2010-07-12 17:00:00,1197.4394,TP1_TP2,0.26,85.49,6.5,1.3,77.69,0.36
XAUUSD_V3_31,XAUUSD,Cypher,SHORT,2010-07-12 17:15:00,1198.65,2010-07-12 17:30:00,1198.65,TP1_BE,0.17,45.61,4.25,0.85,40.51,0.18
XAUUSD_V3_32,XAUUSD,Cypher,SHORT,2010-07-12 18:00:00,1199.99,2010-07-12 18:15:00,1199.99,TP1_BE,0.19,38.25,4.75,0.95,32.55,0.15
XAUUSD_V3_33,XAUUSD,Cypher,SHORT,2010-07-23 16:30:00,1190.43,2010-07-23 16:45:00,1190.43,TP1_BE,0.18,68.3,4.5,0.9,62.9,0.28
XAUUSD_V3_34,XAUUSD,Cypher,LONG,2010-08-13 14:00:00,1216.4,2010-08-13 14:15:00,1216.4,TP1_BE,0.44,16.02,11.0,2.2,2.82,0.01
XAUUSD_V3_35,XAUUSD,Cypher,LONG,2010-08-13 14:30:00,1214.59,2010-08-13 14:45:00,1214.59,TP1_BE,0.69,37.33,17.25,3.45,16.63,0.07
XAUUSD_V3_36,XAUUSD,Cypher,LONG,2010-09-24 18:00:00,1295.82,2010-09-24 18:15:00,1295.82,TP1_BE,0.35,20.67,8.75,1.75,10.17,0.05
XAUUSD_V3_37,XAUUSD,Cypher,LONG,2010-09-24 19:15:00,1296.51,2010-09-24 21:30:00,1296.51,TP1_BE,0.32,7.86,8.0,1.6,-1.74,-0.01
XAUUSD_V3_38,XAUUSD,Cypher,LONG,2010-09-24 18:30:00,1295.84,2010-09-24 21:45:00,1295.84,TP1_BE,0.35,20.32,8.75,1.75,9.82,0.04
XAUUSD_V3_39,XAUUSD,Cypher,LONG,2010-11-02 13:45:00,1358.58,2010-11-02 14:00:00,1358.58,TP1_BE,0.26,24.12,6.5,1.3,16.32,0.07
XAUUSD_V3_40,XAUUSD,Cypher,LONG,2010-11-02 14:15:00,1354.65,2010-11-02 14:30:00,1354.65,TP1_BE,0.47,48.75,11.75,2.35,34.65,0.15
XAUUSD_V3_41,XAUUSD,Cypher,LONG,2010-11-10 14:45:00,1399.45,2010-11-10 15:00:00,1405.0315999999998,TP1_TP2,0.32,104.64,8.0,1.6,95.04,0.42
XAUUSD_V3_42,XAUUSD,Cypher,LONG,2010-11-10 15:15:00,1403.55,2010-11-10 15:30:00,1403.55,TP1_BE,0.2,50.58,5.0,1.0,44.58,0.2
XAUUSD_V3_43,XAUUSD,Cypher,SHORT,2010-11-10 16:30:00,1384.05,2010-11-10 16:45:00,1384.05,TP1_BE,0.08,62.44,2.0,0.4,60.04,0.26
XAUUSD_V3_44,XAUUSD,Cypher,SHORT,2010-11-10 17:15:00,1388.6,2010-11-10 17:30:00,1388.6,TP1_BE,0.09,49.77,2.25,0.45,47.07,0.21
XAUUSD_V3_45,XAUUSD,Cypher,SHORT,2010-11-22 19:45:00,1357.8,2010-11-22 21:30:00,1365.9119999999998,SL,0.28,-227.14,7.0,1.4,-238.34,-1.04
XAUUSD_V3_46,XAUUSD,Cypher,SHORT,2010-12-15 15:00:00,1388.03,2010-12-15 15:15:00,1388.03,TP1_BE,0.2,14.23,5.0,1.0,8.23,0.04
XAUUSD_V3_47,XAUUSD,Cypher,SHORT,2010-12-15 15:30:00,1386.3,2010-12-15 15:45:00,1386.3,TP1_BE,0.17,26.8,4.25,0.85,21.7,0.1
XAUUSD_V3_48,XAUUSD,Cypher,SHORT,2010-12-15 16:15:00,1389.55,2010-12-15 16:30:00,1389.55,TP1_BE,0.23,1.12,5.75,1.15,-5.78,-0.03
XAUUSD_V3_49,XAUUSD,Cypher,LONG,2010-12-21 15:00:00,1390.64,2010-12-21 15:00:00,1382.4783750000001,SL,0.28,-228.53,7.0,1.4,-239.73,-1.06
XAUUSD_V3_50,XAUUSD,Cypher,LONG,2010-12-21 19:00:00,1387.64,2010-12-21 20:00:00,1387.64,TP1_BE,0.19,0.2,4.75,0.95,-5.5,-0.02
XAUUSD_V3_51,XAUUSD,Cypher,SHORT,2011-01-17 17:00:00,1360.05,2011-01-17 17:15:00,1360.05,TP1_BE,0.57,1.74,14.25,2.85,-15.36,-0.07
XAUUSD_V3_52,XAUUSD,Cypher,SHORT,2011-01-17 17:30:00,1361.86,2011-01-17 20:15:00,1361.86,TP1_BE,1.08,101.03,27.0,5.4,68.63,0.31
XAUUSD_V3_53,XAUUSD,Cypher,LONG,2011-01-28 17:30:00,1329.19,2011-01-28 17:45:00,1322.51758,TP1_TP2,0.1,103.31,2.5,0.5,100.31,0.45
XAUUSD_V3_54,XAUUSD,Cypher,LONG,2011-02-22 19:30:00,1400.52,2011-02-23 10:15:00,1400.52,TP1_BE,0.25,23.73,6.25,1.25,16.23,0.07
XAUUSD_V3_55,XAUUSD,Cypher,LONG,2011-02-22 19:00:00,1397.23,2011-02-23 12:30:00,1401.67,TIMEOUT,0.4,177.6,10.0,2.0,165.6,0.74
XAUUSD_V3_56,XAUUSD,Cypher,LONG,2011-02-23 16:15:00,1407.82,2011-02-23 16:30:00,1407.95178,TP1_TP2,0.27,60.17,6.75,1.35,52.07,0.23
XAUUSD_V3_57,XAUUSD,Cypher,LONG,2011-02-23 16:45:00,1410.98,2011-02-23 17:00:00,1410.98,TP1_BE,0.2,74.85,5.0,1.0,68.85,0.3
XAUUSD_V3_58,XAUUSD,Cypher,LONG,2011-02-23 17:30:00,1411.33,2011-02-23 17:45:00,1411.33,TP1_BE,0.19,74.44,4.75,0.95,68.74,0.3
XAUUSD_V3_59,XAUUSD,Cypher,LONG,2011-02-24 17:00:00,1413.34,2011-02-24 18:45:00,1413.34,TP1_BE,0.37,32.59,9.25,1.85,21.49,0.09
XAUUSD_V3_60,XAUUSD,Shark,LONG,2011-02-24 18:15:00,1412.25,2011-02-24 20:00:00,1412.25,TP1_BE,0.34,15.71,8.5,1.7,5.51,0.02
